date;time;temp@3.5;umid@3.5
2015-06-22;10:06;24.35;39.31
2015-06-22;10:12;24.835;39.315
2015-06-22;10:18;24.35;39.66
2015-06-22;10:24;24.51;40.18
2015-06-22;10:30;24.35;39.745
2015-06-22;10:36;24.995;40.265
2015-06-22;10:42;23.87;42.52
2015-06-22;11:00;24.19;43.21
2015-06-22;11:06;24.51;42.52
2015-06-22;11:12;24.51;40.785
2015-06-22;11:18;24.51;38.53
2015-06-22;11:24;24.51;38.53
2015-06-22;11:36;24.19;42.87
2015-06-22;11:42;24.19;43.21
2015-06-22;11:48;24.19;42.52
2015-06-22;12:00;24.995;40.35
2015-06-22;12:06;26.93;40.695
2015-06-22;12:12;24.51;40.525
2015-06-22;12:18;24.51;40.785
2015-06-22;12:24;24.835;40.61
2015-06-22;12:30;24.67;40.875
2015-06-22;12:36;25.155;40.525
2015-06-22;12:42;24.835;40.96
2015-06-22;12:48;24.51;42.87
2015-06-22;13:00;24.835;40.525
2015-06-22;13:06;24.995;40.44
2015-06-22;13:12;25.155;40.265
2015-06-22;13:18;24.67;40.7
2015-06-22;13:24;24.835;40.695
2015-06-22;13:30;24.835;40.7
2015-06-22;13:36;24.995;40.435
2015-06-22;13:42;25.155;40.435
2015-06-22;13:48;25.16;37.32
2015-06-22;14:00;24.835;40.35
2015-06-22;14:06;24.67;40.265
2015-06-22;14:12;24.83;37.49
2015-06-22;14:18;25.8;39.835
2015-06-22;14:24;24.67;40.18
2015-06-22;14:30;25.8;39.83
2015-06-22;14:36;25.16;40.09
2015-06-22;14:42;25.315;40.005
2015-06-22;15:00;24.995;40.265
2015-06-22;15:06;24.995;40.44
2015-06-22;15:12;25.16;40.18
2015-06-22;15:18;24.83;40.7
2015-06-22;15:24;24.83;40.785
2015-06-22;15:30;25.32;41.045
2015-06-22;15:36;25.32;40.7
2015-06-22;15:42;25.32;40.87
2015-06-22;16:00;26.12;37.84
2015-06-22;16:06;24.83;43.56
2015-06-22;16:12;25.16;43.39
2015-06-22;16:18;25.32;40.695
2015-06-22;16:24;25.32;41.305
2015-06-22;16:30;25.32;41.22
2015-06-22;16:36;25.16;43.56
2015-06-22;16:42;25.16;43.73
2015-06-22;16:48;25.16;44.08
2015-06-22;17:00;25.48;39.4
2015-06-22;17:06;25.48;39.4
2015-06-22;17:12;25.32;42.085
2015-06-22;17:18;25.8;44.77
2015-06-22;17:24;25.8;39.57
2015-06-22;17:30;25.32;42.085
2015-06-22;17:36;25.315;42.435
2015-06-22;17:42;25.155;42.175
2015-06-22;17:48;25.48;39.57
2015-06-22;18:00;25.64;42.0
2015-06-22;18:06;25.48;42.345
2015-06-22;18:12;25.155;42.35
2015-06-22;18:18;25.315;42.43
2015-06-22;18:24;25.64;42.435
2015-06-22;18:30;25.48;42.605
2015-06-22;18:36;25.315;42.955
2015-06-22;18:42;25.48;42.345
2015-06-22;18:48;26.12;40.27
2015-06-22;19:00;25.48;43.385
2015-06-22;19:06;25.8;43.565
2015-06-22;19:12;25.32;43.39
2015-06-22;19:18;25.16;45.99
2015-06-22;19:24;25.16;45.12
2015-06-22;19:30;25.48;43.3
2015-06-22;19:36;25.805;42.865
2015-06-22;19:42;25.155;42.955
2015-06-22;20:00;24.995;42.61
2015-06-22;20:06;24.995;42.78
2015-06-22;20:12;24.67;43.13
2015-06-22;20:18;25.315;43.215
2015-06-22;20:24;24.67;43.385
2015-06-22;20:30;24.51;40.96
2015-06-22;20:36;25.155;43.91
2015-06-22;20:42;24.51;42.35
2015-06-22;21:00;24.35;45.125
2015-06-22;21:06;24.19;45.205
2015-06-22;21:12;24.19;45.295
2015-06-22;21:18;24.19;45.73
2015-06-22;21:24;24.51;45.64
2015-06-22;21:30;23.87;44.25
2015-06-22;21:36;23.87;44.08
2015-06-22;21:42;24.03;45.73
2015-06-22;21:48;24.51;47.38
2015-06-22;22:00;24.03;46.16
2015-06-22;22:06;23.87;45.9
2015-06-22;22:12;24.19;47.55
2015-06-22;22:18;24.19;47.38
2015-06-22;22:24;24.03;46.16
2015-06-22;22:30;23.865;46.335
2015-06-22;22:36;23.87;46.165
2015-06-22;22:42;24.515;46.335
2015-06-22;22:48;23.54;44.77
2015-06-22;23:00;23.87;46.075
2015-06-22;23:06;24.03;46.42
2015-06-22;23:12;23.865;46.6
2015-06-22;23:18;23.545;46.51
2015-06-22;23:24;23.705;46.94
2015-06-22;23:30;23.87;45.47
2015-06-22;23:36;24.675;46.685
2015-06-22;23:42;23.87;48.24
2015-06-22;23:48;24.19;44.77
2015-06-22;23:54;23.54;45.3
2015-06-23;00:00;23.87;46.51
2015-06-23;00:06;24.03;46.425
2015-06-23;00:12;23.705;46.685
2015-06-23;00:18;23.705;46.77
2015-06-23;00:24;23.87;46.855
2015-06-23;00:30;24.19;46.77
2015-06-23;00:36;24.025;46.77
2015-06-23;00:42;23.705;46.77
2015-06-23;00:48;23.705;46.685
2015-06-23;00:54;24.19;47.03
2015-06-23;01:00;23.54;45.47
2015-06-23;01:06;23.705;46.77
2015-06-23;01:12;23.705;46.945
2015-06-23;01:18;23.705;46.595
2015-06-23;01:24;23.705;46.77
2015-06-23;01:30;24.03;47.03
2015-06-23;01:36;23.705;47.115
2015-06-23;01:42;23.705;47.375
2015-06-23;01:48;23.705;47.29
2015-06-23;01:54;23.54;47.29
2015-06-23;02:00;23.705;47.46
2015-06-23;02:06;25.64;47.46
2015-06-23;02:12;23.705;47.465
2015-06-23;02:18;23.87;49.11
2015-06-23;02:24;24.025;47.81
2015-06-23;02:30;24.67;47.985
2015-06-23;02:36;23.705;47.81
2015-06-23;02:42;24.19;47.985
2015-06-23;02:48;25.965;48.155
2015-06-23;02:54;23.87;49.11
2015-06-23;03:00;23.87;49.11
2015-06-23;03:06;23.87;49.11
2015-06-23;03:12;23.705;48.33
2015-06-23;03:18;24.185;47.895
2015-06-23;03:24;24.185;48.155
2015-06-23;03:30;23.54;48.07
2015-06-23;03:36;24.995;48.155
2015-06-23;03:42;23.54;47.2
2015-06-23;03:48;23.705;47.81
2015-06-23;03:54;23.87;48.16
2015-06-23;04:00;23.54;48.155
2015-06-23;04:06;23.54;47.895
2015-06-23;04:12;23.54;49.63
2015-06-23;04:18;24.025;48.16
2015-06-23;04:24;23.54;48.42
2015-06-23;04:30;23.54;48.33
2015-06-23;04:36;24.995;48.42
2015-06-23;04:42;23.54;48.415
2015-06-23;04:48;24.51;47.985
2015-06-23;04:54;23.54;48.505
2015-06-23;05:00;23.54;48.155
2015-06-23;05:06;23.54;47.985
2015-06-23;05:12;23.54;49.28
2015-06-23;05:18;23.705;48.33
2015-06-23;05:24;23.54;48.245
2015-06-23;05:30;23.54;47.03
2015-06-23;05:36;24.025;48.155
2015-06-23;05:42;23.87;48.245
2015-06-23;05:48;24.025;48.245
2015-06-23;05:54;23.705;48.16
2015-06-23;06:00;23.54;48.33
2015-06-23;06:06;23.54;48.505
2015-06-23;06:12;24.03;48.245
2015-06-23;06:18;23.705;48.505
2015-06-23;06:24;23.54;48.245
2015-06-23;06:30;23.705;48.675
2015-06-23;06:36;25.96;48.675
2015-06-23;06:42;23.38;48.935
2015-06-23;06:48;23.54;49.8
2015-06-23;06:54;23.545;48.675
2015-06-23;07:00;23.54;49.98
2015-06-23;07:06;23.54;49.8
2015-06-23;07:12;23.38;48.68
2015-06-23;07:18;23.54;48.76
2015-06-23;07:24;23.54;48.505
2015-06-23;07:30;23.54;48.76
2015-06-23;07:36;23.38;49.11
2015-06-23;07:42;23.38;49.195
2015-06-23;07:48;23.705;48.935
2015-06-23;07:54;23.38;48.935
2015-06-23;08:00;23.54;50.15
2015-06-23;08:06;23.87;50.15
2015-06-23;08:12;23.38;49.11
2015-06-23;08:18;23.705;49.37
2015-06-23;08:24;23.54;48.675
2015-06-23;08:30;23.705;48.85
2015-06-23;08:36;23.87;47.2
2015-06-23;08:42;23.87;46.16
2015-06-23;08:48;24.03;48.155
2015-06-23;08:54;24.03;48.155
2015-06-23;09:00;24.51;48.415
2015-06-23;09:06;24.835;48.505
2015-06-23;09:12;24.19;51.89
2015-06-23;09:18;24.51;49.025
2015-06-23;09:24;24.35;50.24
2015-06-23;09:30;24.51;50.67
2015-06-23;09:36;24.51;50.93
2015-06-23;09:42;24.67;51.45
2015-06-23;09:48;24.675;51.02
2015-06-23;09:54;24.83;51.275
2015-06-23;10:00;24.83;48.76
2015-06-23;10:06;24.51;53.27
2015-06-23;10:12;24.51;53.62
2015-06-23;10:18;24.67;50.585
2015-06-23;10:24;24.83;48.42
2015-06-23;10:30;25.48;51.365
2015-06-23;10:36;24.835;52.23
2015-06-23;10:42;27.09;51.975
2015-06-23;10:48;25.16;54.49
2015-06-23;11:00;24.83;51.885
2015-06-23;11:06;25.16;51.975
2015-06-23;11:12;25.64;51.105
2015-06-23;11:18;25.16;52.93
2015-06-23;11:24;24.835;50.235
2015-06-23;11:30;24.83;50.325
2015-06-23;11:36;24.83;50.155
2015-06-23;11:42;25.8;47.72
2015-06-23;11:48;24.83;47.55
2015-06-23;12:00;25.48;46.86
2015-06-23;12:06;26.12;47.2
2015-06-23;12:12;25.155;49.375
2015-06-23;12:18;24.67;49.455
2015-06-23;12:24;24.995;49.46
2015-06-23;12:30;25.8;46.68
2015-06-23;12:36;25.16;46.68
2015-06-23;12:42;25.48;46.51
2015-06-23;12:48;25.48;46.16
2015-06-23;13:06;24.83;50.84
2015-06-23;13:12;25.8;47.55
2015-06-23;13:18;24.995;47.81
2015-06-23;13:24;25.32;47.55
2015-06-23;13:30;24.995;46.94
2015-06-23;13:36;26.45;46.765
2015-06-23;13:42;25.48;46.425
2015-06-23;14:00;25.32;45.905
2015-06-23;14:06;25.32;45.725
2015-06-23;14:12;25.64;45.725
2015-06-23;14:18;25.32;45.905
2015-06-23;14:24;25.64;45.815
2015-06-23;14:30;30.0;43.21
2015-06-23;14:36;25.155;45.905
2015-06-23;14:42;25.48;45.385
2015-06-23;14:48;25.16;48.07
2015-06-23;15:00;26.12;42.17
2015-06-23;15:06;25.48;41.83
2015-06-23;15:12;25.48;41.65
2015-06-23;15:18;25.48;41.48
2015-06-23;15:24;25.16;43.905
2015-06-23;15:30;25.48;43.56
2015-06-23;15:36;25.16;43.475
2015-06-23;15:42;24.995;43.39
2015-06-23;15:48;25.16;45.99
2015-06-23;16:00;25.64;43.995
2015-06-23;16:06;25.8;44.6
2015-06-23;16:12;25.32;44.34
2015-06-23;16:18;25.32;44.865
2015-06-23;16:24;25.8;46.68
2015-06-23;16:30;25.64;45.035
2015-06-23;16:36;26.285;45.205
2015-06-23;16:42;25.64;44.865
2015-06-23;16:48;25.8;42.35
2015-06-23;17:00;25.32;44.6
2015-06-23;17:06;27.415;44.165
2015-06-23;17:12;25.48;44.165
2015-06-23;17:18;25.96;43.91
2015-06-23;17:24;25.16;43.125
2015-06-23;17:30;25.64;42.435
2015-06-23;17:36;25.32;42.26
2015-06-23;17:42;25.32;41.825
2015-06-23;18:00;25.48;39.05
2015-06-23;18:06;25.32;41.565
2015-06-23;18:12;25.48;41.39
2015-06-23;18:18;25.48;38.7
2015-06-23;18:24;26.12;38.7
2015-06-23;18:30;25.64;41.39
2015-06-23;18:36;25.48;38.36
2015-06-23;18:42;25.48;38.18
2015-06-23;19:00;26.45;37.14
2015-06-23;19:06;26.285;39.315
2015-06-23;19:12;25.805;39.14
2015-06-23;19:18;25.16;40.96
2015-06-23;19:24;25.16;41.65
2015-06-23;19:30;25.155;39.225
2015-06-23;19:36;25.155;39.575
2015-06-23;19:42;25.16;39.485
2015-06-23;19:48;25.16;41.48
2015-06-23;20:00;25.32;39.395
2015-06-23;20:06;24.995;39.57
2015-06-23;20:12;24.995;39.57
2015-06-23;20:18;24.83;42.35
2015-06-23;20:24;24.995;39.57
2015-06-23;20:30;24.835;39.575
2015-06-23;20:36;25.32;40.005
2015-06-23;20:42;24.835;39.745
